iteration,country_name,currency,is_circulation,person,years_of_birth_death,in_circulation_since,years_of_circulation,reason_for_honor,denomination,obverse_or_reverse
126,Australia,Dollar,0,Howard Florey,1898–1968,NA,1973–1995,"Nobel Prize winner for work with penicillin, 1945",$50,obverse
126,Australia,Pound,0,Sir John Franklin,1786–1847,NA,1953–1966,Governor of Tasmania and explorer of the Arctic,£5,obverse
126,Australia,Dollar,0,Lawrence Hargrave,1850–1915,NA,1966–1994,inventor aeronautical pioneer; invented the box kite (1893),$20,reverse
126,Australia,Pound,0,Hamilton Hume,1797–1873,NA,1953–1966,first Australian-born explorer of Australia,£1,reverse
126,Australia,Dollar,0,Henry Lawson,1867–1922,NA,1966–1993,poet and novelist,$10,reverse
126,Australia,Dollar,0,John Macarthur,1766–1834,NA,1966–1988,pioneer of the Australian wool industry,$2,obverse
126,Australia,Dollar,0,Douglas Mawson,1882–1958,NA,1984–1996,Antarctic explorer and geologist,$100,obverse
126,Australia,Pound,0,Arthur Phillip,1738–1814,NA,1953–1966,"established first European colony of Sydney, New South Wales",£10,obverse
126,Australia,Dollar,0,Ian Clunies Ross,1899–1959,NA,1973–1995,"scientist, leader in veterinary medicine",$50,reverse
126,Australia,Dollar,0,Charles Kingsford Smith,1897–1935,NA,1966–1994,"aviator; first to fly across the Pacific, 1928",$20,obverse
126,Australia,Pound,0,Charles Sturt,1795–1869,NA,1953–1966,English explorer of Australia,£1,reverse
126,Australia,Dollar,0,John Tebbutt,1834–1916,NA,1984–1996,"astronomer, discoverer of the ""Great Comet of 1861""",$100,reverse
127,Austria,Schilling,0,Eugen von Böhm-Bawerk,1851–1914,NA,1985–2001,economist,S100,obverse
127,Austria,Schilling,0,Moritz Michael Daffinger,1790–1849,NA,1988–2001,miniature painter and sculpture,S20,obverse
127,Austria,Schilling,0,Sigmund Freud,1856–1939,NA,1987–2001,co-founder of psychoanalytic school of psychology,S50,obverse
127,Austria,Schilling,0,Karl Landsteiner,1868–1943,NA,1997–2001,Nobel Prize winner,"S1,000",both
127,Austria,Schilling,0,Rosa Mayreder,1858–1938,NA,1997–2001,"feminist, painter, author",S500,obverse
127,Austria,Schilling,0,Wolfgang Amadeus Mozart,1756–1791,NA,1989–2001,classical composer and pianist,"S5,000",obverse
127,Austria,Schilling,0,Erwin Schrödinger,1887–1961,NA,1983–1997,Nobel Prize winner,"S1,000",obverse
127,Austria,Schilling,0,Otto Wagner,1841–1918,NA,1986–1997,architect,S500,obverse
128,Azerbaijan,Second Azerbaijani manat,0,Nizami Gəncəvi,1141-1209,NA,1993-2006,Poet,500,Obverse
128,Azerbaijan,Second Azerbaijani manat,0,Məmməd Əmin Rəsulzadə,1884-1955,NA,1993-2006,"President of the Azerbaijani National Council (May 27-December 7, 1918)","1,000",Obverse
129,Belgium,Franc,0,Albert II,1934-,NA,1994–2001,King of Belgium (1993-2013),"10,000 fr.",obverse
129,Belgium,Franc,0,James Ensor,1860–1949,NA,1994–2001,impressionist painter,100 fr.,obverse
129,Belgium,Franc,0,Victor Horta,1861–1947,NA,1994–2001,Art Nouveau architect,"2,000 fr.",obverse
129,Belgium,Franc,0,René Magritte,1898–1967,NA,1994–2001,surrealist artist,500 fr.,obverse
129,Belgium,Franc,0,Paola,1937-,NA,1994–2001,Queen Consort of Belgium (1993-2013),"10,000 fr.",obverse
129,Belgium,Franc,0,Constant Permeke,1886–1952,NA,1994–2001,Flemish expressionist painter,"1,000 fr.",obverse
129,Belgium,Franc,0,Adolphe Sax,1814–1894,NA,1994–2001,"musician, inventor of the saxophone",200 fr.,obverse
130,Brazil,Cruzeiro,0,Dom Pedro I,1798â€“1834,NA,1970â€“1986,First emperor of Brazil (1822â€“1831),Cr$5,obverse
130,Brazil,Cruzeiro,0,Dom Pedro II,1825â€“1891,NA,1970â€“1986,Emperor of Brazil (1831â€“1889),10 Cr$,obverse
130,Brazil,Cruzeiro,0,Deodoro da Fonseca,1827â€“1892,NA,1970â€“1986,1st President of Brazil (1889â€“1891),Cr$50,obverse
130,Brazil,Cruzeiro,0,Floriano Peixoto,1839â€“1895,NA,1970â€“1986,President of Brazil (1891â€“1894),Cr$100,obverse
130,Brazil,Cruzeiro,0,Baron of Rio Branco,1845â€“1912,NA,1978â€“1986,Defined the country's borders,"Cr$1,000",obverse
130,Brazil,Cruzeiro,0,Duke of Caxias,1803â€“1880,NA,1981â€“1986,Army marshal,Cr$100,obverse
130,Brazil,Cruzeiro,0,Dona Isabel,1846â€“1921,NA,1981â€“1986,Princess of Brazil; emancipation of slaves,Cr$200,obverse
130,Brazil,Cruzeiro,0,Castelo Branco,1897â€“1967,NA,1981â€“1986,President of Brazil (1965â€“1967),"Cr$5,000",obverse
130,Brazil,CruzeiroCruzado,0,Rui Barbosa,1849â€“1923,NA,1984â€“1986,Brazilian delegate in the Second Hague Conference,"Cr$ 10,000Cz$10",obverse
130,Brazil,CruzeiroCruzado,0,Oswaldo Cruz,1872â€“1917,NA,1984â€“1986,Bacteriologist and public health officer,"Cr$ 50,000Cz$50",obverse
130,Brazil,CruzeiroCruzado,0,Juscelino Kubitschek,1902â€“1976,NA,1984â€“1986,President of Brazil (1956â€“1961),"Cr$ 100,000Cz$100",obverse
130,Brazil,Cruzado,0,Heitor Villa-Lobos,1887â€“1959,NA,1986â€“1989,Composer,Cz$500,obverse
130,Brazil,Cruzado,0,Machado de Assis,1839â€“1908,NA,1987â€“1990,Writer,"Cz$1,000",obverse
130,Brazil,Cruzado,0,CÃ¢ndido Portinari,1903â€“1962,NA,1988â€“1990,Neo-realist painter,"Cz$5,000",obverse
130,Brazil,Cruzado,0,Carlos Chagas,1879â€“1934,NA,1988â€“1990,"Bacteriologist, discoverer of the Chagas Disease","Cz$10,000",obverse
130,Brazil,Cruzado Novo,0,Carlos Drummond de Andrade,1902â€“1987,NA,1989â€“1993,Writer,NCz$50,obverse
130,Brazil,Cruzado Novo,0,CecÃ­lia Meireles,1901â€“1964,NA,1989â€“1993,Poet,NCz$100,obverse
130,Brazil,Cruzado Novo,0,Augusto Ruschi,1915â€“1986,NA,1989â€“1993,Ecologist,NCz$500,obverse
130,Brazil,Cruzeiro Real,0,AnÃ­sio Teixeira,1900â€“1971,NA,1993â€“1994,Educational system reformer,"CR$1,000",obverse
131,Bulgaria,Lev (pl. leva),0,Georgi Dimitrov,1882-1949,NA,1951-1974,"General Secretary of the Central Committee of the Bulgarian Communist Party (1946-1949); Chairman of the Council of Ministers of Bulgaria
(1946-1949); Head of the International Policy Department of the Communist Party of the Soviet Union (1943-1945); General Secretary of the Executive Committee of the Communist International (1935-1943)",All (10-500 leva),Obverse
131,Bulgaria,Lev (pl. leva),0,Desislava Sevastokratoritsa Ktitoritsa,,NA,1991,,20 leva,Obverse
131,Bulgaria,Lev (pl. leva),0,Khristo G. Danov,,NA,1991,,50 leva,Obverse
131,Bulgaria,Lev (pl. leva),0,Zakhary Khristovich Dimitrov,,NA,1991-1993,,100 leva,Obverse
131,Bulgaria,Lev (pl. leva),0,Ivan Minchov Vazov,1850-1921,NA,1992,"Poet, novelist and playwright",200 leva,Obverse
131,Bulgaria,Lev (pl. leva),0,Dobry Khristov,,NA,1993,,500 leva,Obverse
131,Bulgaria,Lev (pl. leva),0,Vasil Levski,1837-1873,NA,1994-1997,Revolutionary and national hero of Bulgaria,"1,000 leva",Obverse
131,Bulgaria,Lev (pl. leva),0,Nikola Fichev (Kolyu Ficheto),1800-1881,NA,1994-1996,"Architect, builder and sculptor","2,000 leva",Obverse
131,Bulgaria,Lev (pl. leva),0,Zakhary Stoyanov,,NA,1996-1997,,"5,000 leva",Obverse
131,Bulgaria,Lev (pl. leva),0,Vladimir Dimitrov — Maystora,1882-1960,NA,1996,"Painter, draughtsman and teacher","10,000 leva",Obverse
131,Bulgaria,Lev (pl. leva),0,Petar Beron,1799-1871,NA,1997,Educator,"10,000 leva",Obverse
131,Bulgaria,Lev (pl. leva),0,Saints Cyril and Methodius,826-869 (Saint Cryil); 815-885 (Saint Methodus),NA,1997,"Devising the Glagolitic alphabet, the first alphabet used to transcribe Old Church Slavonic","50,000 leva",Obverse
132,Burma,Kyat,0,Aung San,1915-1947,NA,1965,5th Premier of the British Crown Colony of Burma (1946-1947); President of the Anti-Fascist People's Freedom League (1945-1947),All (1-20 kyats),Obverse
132,Burma,Kyat,0,Aung San,1915-1947,NA,1972-1986,5th Premier of the British Crown Colony of Burma (1946-1947); President of the Anti-Fascist People's Freedom League (1945-1947),"1-, 5-, 10-, 15-, 25-, 35-, 50-, 75 and 100 kyats",Obverse
132,Burma,Kyat,0,Thakin Pho Hla Gyi,,NA,1987,,45 kyats,Obverse
132,Burma,Kyat,0,Saya San,1876-1931,NA,1987,Leader of the 'Saya San Rebellion' of 1930-1932 in British Burma,90 kyats,Obverse
133,Cameroon,Central African CFA franc,0,Ahmadou Babatoura Ahidjo,1924-1989,NA,1961,1st President of Cameroon (1960-1982),"5,000 CFA francs",Obverse
133,Cameroon,Central African CFA franc,0,Ahmadou Babatoura Ahidjo,1924-1989,NA,"1962 (100 CFA francs); 1962 (5,000 CFA francs); 1972 (10,000 CFA francs)",1st President of Cameroon (1960-1982),"100, 5,000 and 10,000 CFA francs",Obverse
133,Cameroon,Central African CFA frnac,0,Ahmadou Babatoura Ahidjo,1924-1989,NA,"1974 (5,000 CFA francs); 1974-1981 (10,000 CFA francs)",1st President of Cameroon (1960-1982),"5,000 and 10,000 CFA francs",Obverse
133,Cameroon,Central African CFA franc,0,Paul Biya,1933-,NA,1985-1992,2nd President of Cameroon (1982-),"1,000 CFA francs",Obverse
134,Canada,dollar,0,Robert Borden,1854–1937,NA,1976–1990,"8th Prime Minister, 1911–1920",$100,obverse
134,Canada,dollar,0,Robert Borden,1854–1937,NA,1990–2004,"8th Prime Minister, 1911–1920",$100,obverse
134,Canada,dollar,0,Edward,1894–1972,NA,1935–1937,"Prince of Wales, 1910–1936",$5,obverse
134,Canada,dollar,0,Elizabeth,1926-,NA,1935–1937,"Princess of York, 1936–1952",$20,obverse
134,Canada,dollar,0,Elizabeth II,1926-,NA,1954–1974,"Queen of Canada, 1952-",$1,obverse
134,Canada,dollar,0,Elizabeth II,1926-,NA,1954–1975,1926-,$2,obverse
134,Canada,dollar,0,Elizabeth II,1926-,NA,1986–1996,1926-,1926-,Elizabeth II
134,Canada,dollar,0,Elizabeth II,1926-,NA,1954–1972,1926-,$5,obverse
134,Canada,dollar,0,Elizabeth II,1926-,NA,1954–1971,1926-,$10,obverse
134,Canada,dollar,0,Elizabeth II,1926-,NA,1954–1969,1926-,$20,obverse
134,Canada,dollar,0,Elizabeth II,1926-,NA,1969–1993,1926-,1926-,Elizabeth II
134,Canada,dollar,0,Elizabeth II,1926-,NA,1993–2004,1926-,1926-,Elizabeth II
134,Canada,dollar,0,Elizabeth II,1926-,NA,1954–1975,1926-,$50,obverse
134,Canada,dollar,0,Elizabeth II,1926-,NA,1954–1976,1926-,$100,obverse
134,Canada,dollar,0,Elizabeth II,1926-,NA,1954–1992,1926-,"$1,000",obverse
134,Canada,dollar,0,Elizabeth II,1926-,NA,1992–2000,1926-,1926-,Elizabeth II
134,Canada,dollar,0,George V,1865–1936,NA,1935–1936,"King of the United Kingdom and the British Dominions, 1910–1936",$1,obverse
134,Canada,dollar,0,Albert,1895–1952,NA,1935–1937,"Duke of York, 1920–1936",$50,obverse
134,Canada,dollar,0,George VI,1895–1952,NA,1936–1954,"King of Canada, 1936–1952",$1,obverse
134,Canada,dollar,0,George VI,1895–1952,NA,obverse,1895–1952,$1,$2
134,Canada,dollar,0,George VI,1895–1952,NA,obverse,1895–1952,$1,$5
134,Canada,dollar,0,George VI,1895–1952,NA,obverse,1895–1952,$1,$10
134,Canada,dollar,0,George VI,1895–1952,NA,obverse,1895–1952,$1,$20
134,Canada,dollar,0,George VI,1895–1952,NA,obverse,1895–1952,$1,$50
134,Canada,dollar,0,Henry,1900–1974,NA,1935–1937,"Duke of Gloucester, 1928–1974",$100,obverse
134,Canada,dollar,0,William Lyon Mackenzie King,1874–1950,NA,1975–1989,"10th Prime Minister, 1921–1926, 1926–1930, 1935–1948",$50,obverse
134,Canada,dollar,0,William Lyon Mackenzie King,1874–1950,NA,1989–2004,"10th Prime Minister, 1921–1926, 1926–1930, 1935–1948",$50,obverse
134,Canada,dollar,0,Wilfrid Laurier,1841–1919,NA,1972–1986,"7th Prime Minister of Canada, 1896–1911",$5,obverse
134,Canada,dollar,0,Wilfrid Laurier,1841–1919,NA,1986–2001,"7th Prime Minister of Canada, 1896–1911",$5,obverse
134,Canada,dollar,0,Wilfrid Laurier,1841–1919,NA,1935–1937,"7th Prime Minister of Canada, 1896–1911","$1,000",obverse
134,Canada,dollar,0,Wilfrid Laurier,1841–1919,NA,1937–1954,"7th Prime Minister of Canada, 1896–1911",1841–1919,Wilfrid Laurier
134,Canada,dollar,0,John A. Macdonald,1815–1891,NA,1971–1989,"1st Prime Minister, 1867–1873 and 1878–1891",$10,obverse
134,Canada,dollar,0,John A. Macdonald,1815–1891,NA,1989–2000,"1st Prime Minister, 1867–1873 and 1878–1891",$10,obverse
134,Canada,dollar,0,John A. Macdonald,1815–1891,NA,1937–1954,"1st Prime Minister, 1867–1873 and 1878–1891",$100,obverse
134,Canada,dollar,0,John A. Macdonald,1815–1891,NA,1935–1937,"1st Prime Minister, 1867–1873 and 1878–1891",$500,obverse
134,Canada,dollar,0,Mary,1867–1953,NA,1935–1937,"Royal consort to George V, 1910–1936",$2,obverse
134,Canada,dollar,0,Mary,1897–1965,NA,1935–1937,"Princess Royal of Canada, 1932–1965",$10,obverse
135,Central African Republic/Central African Empire,Central African CFA franc,0,Jean-Bédel Bokassa,1921-1996,NA,1974-1976 (Central African Republic); 1978-1979 (Central African Empire),2nd President of the Central African Republic (1966-1976); Emperor of the Central African Empire (1976-1979),"All (500-10,000 francs)",Obverse
136,Chad,Central African CFA franc,0,François Tombalbaye (N'Garta Tombalbaye),1918-1975,NA,"1974 (5,000 CFA francs); 1971 (10,000 CFA francs)",1st President of Chad (1960-1975),"5,000 and 10,000 CFA francs",Obverse
137,Czechoslovakia,Czechoslovak koruna,0,Jan Žižka,c.1360-1424,NA,1958-1972,"Czech general, contemporary and follower of Jan Hus, Hussite military leader, and later also a Radical Hussite who led the Taborites",25 Kčs,Obverse
137,Czechoslovakia,Czechoslovak koruna,0,Jan Žižka,c.1360-1424,NA,1971-1991,"Czech general, contemporary and follower of Jan Hus, Hussite military leader, and later also a Radical Hussite who led the Taborites",20 Kčs,Obverse
137,Czechoslovakia,Czechoslovak koruna,0,Pavol Országh Hviezdoslav,1849-1921,NA,1986-1993,"Poet, dramatist, translator, and for a short time, member of the Czechoslovak parliament",10 Kčs,Obverse
137,Czechoslovakia,Czechoslovak koruna,0,John Amos Comenius,1592-1670,NA,1988-1993,"Philosopher, pedagogue and theologian from the Margraviate of Moravia",20 Kčs,Obverse
137,Czechoslovakia,Czechoslovak koruna,0,Ľudovít Štúr,1815-1856,NA,1987-1993,"Leader of the Slovak national revival in the 19th century, and the author of the Slovak language standard",50 Kčs,Obverse
137,Czechoslovakia,Czechoslovak koruna,0,Klement Gottwald,1896-1953,NA,1989-1990,Leader of the Communist Party of Czechoslovakia (1929-1953); 14th Prime Minister of Czechoslovakia (1946-1948); 5th President of Czechoslovakia (1948-1953),100 Kčs,Obverse
137,Czechoslovakia,Czechoslovak koruna,0,Bedřich Smetana,1824-1884,NA,1985-1993,Composer who pioneered the development of a musical style which became closely identified with his country's aspirations to independent statehood,"1,000 Kčs",Obverse
138,Czech Republic,Czech koruna,0,Ottokar I,c.1155-1230,NA,1993-2014,Duke of Bohemia (1192-1193); King of Bohemia (1197-1230),20 Kč,Obverse
138,Czech Republic,Czech koruna,0,Agnes of Bohemia,1211-1282,NA,1993-2017,Princess of Bohemia; Saint of the Czech Republic,50 Kč,Obverse
139,People's Republic of China,Renminbi,0,Mao Zedong,1893–1976,NA,1992–1999,"1st President, 1954–1959",¥100,obverse
139,People's Republic of China,Renminbi,0,Zhou Enlai,1898–1976,NA,1992–1999,"1st Premier, 1949–1976; 1st Foreign Minister, 1949–1958",¥100,obverse
139,People's Republic of China,Renminbi,0,Liu Shaoqi,1898–1969,NA,1992–1999,"2nd President, 1959–1968",¥100,obverse
139,People's Republic of China,Renminbi,0,Zhu De,1886–1976,NA,1992–1999,"founder, Chinese Red Army",¥100,obverse
140,Confederate States of America,Confederate States dollar,0,George Washington,1732-1799,NA,"July 29-October 22, 1861 ($50 and $100); August 25-September 23, 1861 ($50)",1st President of the United States (1789-1797); Commander-in-Chief of the Continental Army; Founding Father of the United States,$50 and $100,Obverse
140,Confederate States of America,Confederate States dollar,0,John Caldwell Calhoun,1782-1850,NA,"April 5-June 21, 1861",7th Vice President of the United States (1825-1832),"$1,000",Obverse
140,Confederate States of America,Confederate States dollar,0,Andrew Jackson,1767-1845,NA,"April 5-June 21, 1861",7th President of the United States (1829-1837),"$1,000",Obverse
140,Confederate States of America,Confederate States dollar,0,Jefferson Davis,1808-1889,NA,"April 17-December 10, 1862",President of the Confederate States (1862-1865),$50,Obverse
140,Confederate States of America,Confederate States dollar,0,Alexander Hamilton Stephens,1812-1883,NA,"June 21-December 8, 1862 (Version 1); June 28-November 15, 1862 (Version 2)",Vice President of the Confederate States (1862-1865),$20,Obverse
140,Confederate States of America,Confederate States dollar,0,John Elliott Ward,1814-1902,NA,"November 15-December 30, 1861",Politician and diplomat,$10,Obverse
140,Confederate States of America,Confederate States dollar,0,Robert Mercer Taliaferro Hunter,1809-1887,NA,"February 20-December 8, 1862 (Version 1); May 12-August 9, 1862 (Version 2); July 12-December 8, 1862 (Version 3); June 14, 1862 – January 3, 1863 (Version 4)",President pro tempore of the Confederate States Senate (1862-1865); Confederate States Senator from Virginia (1862-1865); 2nd Confederate States Secretary of State (1861-1862),$10,Obverse
140,Confederate States of America,Confederate States dollar,0,Christopher Gustavus Memminger,1803-1888,NA,"March 13-June 19, 1862 (Version 1); May 12-December 8, 1862 (Version 2); April 7-September 13, 1862 (Version 3)",1st Confederate States Secretary of the Treasury (1861-1864),$5,Obverse
140,Confederate States of America,Confederate States dollar,0,Judah Philip Benjamin,1811-1884,NA,,"3rd Confederate States Secretary of State (1862-1865); 2nd Confederate States Secretary of War (1861-1862); 1st Confederate States Attorney General (February 25-November 15, 1861)",$2,Obverse
140,Confederate States of America,Confederate States dollar,0,John Caldwell Calhoun,1782-1850,NA,,7th Vice President of the United States (1825-1832),$100,Obverse
140,Confederate States of America,Confederate States dollar,0,Lucy Pickens,1832-1899,NA,,Socialite,"$1, $100",Obverse
140,Confederate States of America,Confederate States dollar,0,George Wythe Randolph,1818-1867,NA,,"3rd Confederate States Secretary of War (March 24-November 15, 1862)",$100,Obverse
140,Confederate States of America,Confederate States dollar,0,Clement Claiborne Clay,1816-1882,NA,,Confederate States Senator from Alabama (1862-1864),$1,Obverse
140,Confederate States of America,Confederate States dollar,0,"Thomas Jonathan ""Stonewall"" Jackson",1824-1863,NA,,General of the Confederate States Army,$500,Obverse
141,Denmark,Krone,0,Hans Christian Andersen,1805–1875,NA,1952–1955,poet and author of fairy tales,10 kr,obverse
141,Denmark,Krone,0,Hans Christian Andersen,1805–1875,NA,1954–1975,poet and author of fairy tales,10 kr,obverse
141,Denmark,Krone,0,Christian Ditlev Frederik,1748–1827,NA,1964–1975,agricultural reformer,500 kr,obverse
141,Denmark,Krone,0,Thomasine Heiberg,1779–1856,NA,1975–1998,author; portrait painted by Jens Juel,"1,000 kr",obverse
141,Denmark,Krone,0,Jens Juel,1745–1802,NA,1974–1995,painter,100 kr,obverse
141,Denmark,Krone,0,Jens Juel,1745–1802,NA,1995–1999,painter,100 kr,obverse
141,Denmark,Krone,0,Cathrine Sophie Kirchhoff,????-????,NA,1975–1980,"wife of J.H. Kirchhoff, Councillor of State; portrait painted by Jens Juel",10 kr,obverse
141,Denmark,Krone,0,Hans Christian Ørsted,1777–1851,NA,1962–1974,physicist; discoverer of electromagnetism,100 kr,obverse
141,Denmark,Krone,0,Ole Rømer,1644–1710,NA,1957–1975,astronomer; made the first measurements of the speed of light,50 kr,obverse
141,Denmark,Krone,0,Engelke Charlotte Ryberg,????-????,NA,1975–1999,"daughter-in-law of Niels Ryberg, merchant; portrait painted by Jens Juel",50 kr,obverse
141,Denmark,Krone,0,Bertel Thorvaldsen,1770–1844,NA,1952–1962,sculptor,5 kr,obverse
141,Denmark,Krone,0,Pauline Maria Tutein,1761–1827,NA,1980–1990,"wife of Peter Tutein, merchant; portrait painted by Jens Juel",20 kr,obverse
141,Denmark,Krone,0,Franziska Genoveva von Qualen,????-????,NA,1974–1997,"noble woman of Holstein, Germany; portrait painted by Jens Juel",500 kr,obverse
142,East Germany,East German mark,0,Thomas Müntzer,1489-1525,NA,1975-1990,Reformation-era German theologian,M 5,Obverse
142,East Germany,East German mark,0,Clara Zetkin,1857-1933,NA,1971-1990,"Marxist theorist, activist, and advocate for women's rights; Responsible for organizing  the first International Women's Day in 1911",M 10,Obverse
142,East Germany,East German mark,0,Johann Wolfgang von Goethe,1749-1832,NA,1975-1990,Writer and statesman,M 20,Obverse
142,East Germany,East German mark,0,Friedrich Engels,1820-1895,NA,1971-1990,"Social scientist, author, political theorist, philosopher, and father of Marxist theory",M 50,Obverse
142,East Germany,East German mark,0,Karl Marx,1818-1883,NA,1975-1990,"Philosopher, economist, sociologist, journalist, and revolutionary socialist",M 100,Obverse
143,Egypt,Pound,0,Farouk I,1920–1965,NA,1950–1952,King of Egypt (1936–1952),£1,obverse
143,Egypt,Pound,0,Farouk I,1920–1965,NA,1946–1952,King of Egypt (1936–1952),£5,obverse
143,Egypt,Pound,0,Khafra,unknown,NA,1970–1979,Pharaoh of the Fourth Dynasty (2558–2532 BC),£10,reverse
143,Egypt,Pound,0,Khafra,unknown,NA,1979–2003,Pharaoh of the Fourth Dynasty (2558–2532 BC),£10,reverse
143,Egypt,Pound,0,Ramesses II,1302–1213 BC,NA,1968–1981,Pharaoh of the Eighteenth Dynasty (1279–1213 BC),Pt.50,obverse
143,Egypt,Pound,0,Ramesses II,1302–1213 BC,NA,1981–1986,Pharaoh of the Eighteenth Dynasty (1279–1213 BC),Pt.50,obverse
143,Egypt,Pound,0,Ramesses II,1302–1213 BC,NA,1968–1979,Pharaoh of the Eighteenth Dynasty (1279–1213 BC),£1,obverse
143,Egypt,Pound,0,Tutankhamun,unknown,NA,1952–1962,Pharaoh of the Eighteenth Dynasty (1333–1324 BC),Pt.25,obverse
143,Egypt,Pound,0,Tutankhamun,unknown,NA,1952–1962,Pharaoh of the Eighteenth Dynasty (1333–1324 BC),Pt.50,obverse
143,Egypt,Pound,0,Tutankhamun,unknown,NA,1930–1950,Pharaoh of the Eighteenth Dynasty (1333–1324 BC),£1,obverse
143,Egypt,Pound,0,Tutankhamun,unknown,NA,1952–1963,Pharaoh of the Eighteenth Dynasty (1333–1324 BC),unknown,Tutankhamun
143,Egypt,Pound,0,Tutankhamun,unknown,NA,1963–1968,Pharaoh of the Eighteenth Dynasty (1333–1324 BC),unknown,Tutankhamun
143,Egypt,Pound,0,Tutankhamun,unknown,NA,1952–1963,Pharaoh of the Eighteenth Dynasty (1333–1324 BC),£5,obverse
143,Egypt,Pound,0,Tutankhamun,unknown,NA,1963–1969,Pharaoh of the Eighteenth Dynasty (1333–1324 BC),unknown,Tutankhamun
143,Egypt,Pound,0,Tutankhamun,unknown,NA,1970–1981,Pharaoh of the Eighteenth Dynasty (1333–1324 BC),unknown,Tutankhamun
143,Egypt,Pound,0,Tutankhamun,unknown,NA,1952–1962,Pharaoh of the Eighteenth Dynasty (1333–1324 BC),£10,obverse
143,Egypt,Pound,0,Tutankhamun,unknown,NA,1962–1970,Pharaoh of the Eighteenth Dynasty (1333–1324 BC),unknown,Tutankhamun
143,Egypt,Pound,0,Tutankhamun,unknown,NA,1979–1994,Pharaoh of the Eighteenth Dynasty (1333–1324 BC),£100,obverse
144,Ethiopia,Ethiopian dollar/birr,0,Haile Selassie,1892-1975,NA,1945 (1-500 dollars); 1961 (1-500 dollars); 1966 (1-100 dollars),Emperor of Ethiopia (1930-1974),All (1-500 dollars/birr),Obverse
145,Equatorial Guinea,Peseta,0,Francisco Macías Nguema,1924-1979,NA,1969-1975,1st President of Equatorial Guinea (1968-1979),"All (100 to 1,000 ₧)",Obverse
145,Equatorial Guinea,Ekwele (plu. Bipkwele),0,Francisco Macías Nguema,1924-1979,NA,1975-1985,1st President of Equatorial Guinea (1968-1979),"All (25 to 1,000 bipkwele)",Obverse
145,Equatorial Guinea,Bipkwele,0,Tomas Engono Nkogo,,NA,1979-1985,,100 bipkwele,Obverse
145,Equatorial Guinea,Bipkwele,0,Rey Uganda,,NA,1979-1985,,500 bipkwele,Obverse
145,Equatorial Guinea,Bipkwele,0,Rey Bioko,,NA,1979-1985,,"1,000 bipkwele",Obverse
145,Equatorial Guinea,Bipkwele,0,Enrique Nvo Okenve,,NA,1979-1985,,"5,000 bipkwele",Obverse
146,Estonia,Kroon,0,Kristjan Raud,1865–1943,NA,1992-2010,painter,1 KR,obverse
146,Estonia,Kroon,0,Karl Ernst von Baer,1792–1876,NA,1992-2010,"a founding father of embryology, naturalist, biologist, geologist, meteorologist, geographer",2 KR,obverse
146,Estonia,Kroon,0,Paul Keres,1916–1975,NA,1992-2010,chess grandmaster,5 KR,obverse
146,Estonia,Kroon,0,Jakob Hurt,1839–1907,NA,1992-2010,"folklorist, theologist and linguist",10 KR,obverse
146,Estonia,Kroon,0,Anton Hansen Tammsaare,1878–1940,NA,1992-2010,writer,25 KR,obverse
146,Estonia,Kroon,0,Rudolf Tobias,1873–1918,NA,1994-2010,composer and organist,50 KR,obverse
146,Estonia,Kroon,0,Lydia Koidula,1843–1886,NA,1992-2010,"poet; known as ""The Founder of Estonian Theatre""",100 KR,obverse
146,Estonia,Kroon,0,Carl Robert Jakobson,1841–1882,NA,1992-2010,"writer, politician and teacher; one of the most important persons of Estonian national awakening",500 KR,obverse
147,Faroe Islands,Króna,0,Jens Christian Djurhuus,1773–1853,NA,1980–2005,first poet to write in Faroese,"1,000 kr",obverse
147,Faroe Islands,Króna,0,Venceslaus Ulricus Hammershaimb,1819–1909,NA,1964–1978,established modern orthography for the Faroese language,100 kr,obverse
147,Faroe Islands,Króna,0,Venceslaus Ulricus Hammershaimb,1819–1909,NA,1978–2003,established modern orthography for the Faroese language,100 kr,obverse
147,Faroe Islands,Króna,0,Nólsoyar Páll,1765–1809,NA,1967–1978,"seaman, trader, poet",50 kr,obverse
147,Faroe Islands,Króna,0,Nólsoyar Páll,1765–1809,NA,1978–2001,"seaman, trader, poet",50 kr,obverse
148,Federated Malay States,Cent,0,George VI,1895-1952,NA,1940-1945,King of the United Kingdom and the Dominions of the British Commonwealth (1936-1952); Emperor of India (1936-1947); and the first Head of the Commonwealth,All (1-50 cents),Obverse
148,Federated Malay States,Dollar,0,George VI,1895-1952,NA,1941-1945,King of the United Kingdom and the Dominions of the British Commonwealth (1936-1952); Emperor of India (1936-1947); and the first Head of the Commonwealth,"All (1-10,000 dollars)",Obverse
149,Federation of Malaya,Dollar,0,Elizabeth II,1926-,NA,1953-1967,Queen of the United Kingdom and the other Commonwealth Realms (1952-),"All (1-10,000 dollars)",Obverse
150,Finland,Markka,0,Alvar Aalto,1898–1976,NA,1986–2002,modernist architect,50mk,reverse
150,Finland,Markka,0,Anders Chydenius,1792–1803,NA,1986–2002,priest and statesman,"1,000mk",reverse
150,Finland,Markka,0,Väinö Linna,1920–1992,NA,1993–2002,novelist,20mk,reverse
150,Finland,Markka,0,Elias Lönnrot,1802–1884,NA,1986–2002,"historian, composer of Kalevala (the national epic)",500mk,reverse
